Airline,Month,Passengers_In,Passengers_Out
Hawaiian Airlines,Sep,9534.0,11333.0
Indonesia AirAsia,Apr,13873.0,14223.0
Indonesia AirAsia,Aug,14684.0,13965.0
Indonesia AirAsia,Dec,12272.0,13655.0
Indonesia AirAsia,Feb,11632.0,9904.0
Indonesia AirAsia,Jan,15508.0,12904.0
Indonesia AirAsia,Jul,15344.0,14787.0
Indonesia AirAsia,Jun,13677.0,14528.0
Indonesia AirAsia,Mar,12554.0,12401.0
Indonesia AirAsia,May,14199.0,13631.0
Indonesia AirAsia,Nov,13880.0,12864.0
Indonesia AirAsia,Oct,15342.0,14150.0
Indonesia AirAsia,Sep,14296.0,14209.0
Japan Airlines,Apr,7751.0,8241.0
Japan Airlines,Aug,10195.0,10871.0
Japan Airlines,Dec,9414.0,11635.0
Japan Airlines,Feb,9699.0,8962.0
Japan Airlines,Jan,10390.0,9835.0
Japan Airlines,Jul,10831.0,8475.0
Japan Airlines,Jun,8696.0,10105.0
Japan Airlines,Mar,8517.0,9728.0
Japan Airlines,May,8473.0,10236.0
Japan Airlines,Nov,10782.0,11081.0
Japan Airlines,Oct,10712.0,10528.0
Japan Airlines,Sep,8810.0,11070.0
Jetstar,Apr,149934.0,146970.0
Jetstar,Aug,160071.0,159405.0
Jetstar,Dec,157645.0,173411.0
Jetstar,Feb,143772.0,132168.0
Jetstar,Jan,173290.0,161665.0
Jetstar,Jul,169580.0,159634.0
Jetstar,Jun,138158.0,144458.0
Jetstar,Mar,148059.0,146319.0
Jetstar,May,138962.0,138661.0
Jetstar,Nov,149024.0,148408.0
Jetstar,Oct,167420.0,152287.0
Jetstar,Sep,158667.0,161114.0
Jetstar Asia,Apr,3735.0,3536.0
Jetstar Asia,Aug,3530.0,3161.0
Jetstar Asia,Dec,2372.0,4543.0
Jetstar Asia,Feb,3657.0,2794.0
Jetstar Asia,Jan,3639.0,3309.0
Jetstar Asia,Jul,4416.0,3236.0
Jetstar Asia,Jun,4033.0,4392.0
Jetstar Asia,Mar,3364.0,2960.0
Jetstar Asia,May,3944.0,3585.0
Jetstar Asia,Nov,2874.0,2986.0
Jetstar Asia,Oct,3401.0,2612.0
Jetstar Asia,Sep,3186.0,3047.0
Korean Air,Apr,10198.0,11530.0
Korean Air,Aug,11095.0,11998.0
Korean Air,Dec,16894.0,18520.0
Korean Air,Feb,17162.0,14635.0
